,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,freeze,prec
164,40755.0,2.0,1992-02-10 12:00:00,1992-02-11 00:00:00,12.0,,,,109.38196058227264,245.3847170149072 degree,-278.56485,7.3182373046875
165,40832.0,1.0,1992-02-18 06:00:00,1992-02-18 12:00:00,6.0,,,,45.979457149062355,297.2526782138101 degree,-347.9431,
166,40857.0,1.0,1992-02-27 00:00:00,1992-02-27 06:00:00,6.0,,,,94.10335943686633,237.0332608587577 degree,249.78415,6.798828125
167,40857.0,2.0,1992-02-24 18:00:00,1992-02-27 00:00:00,54.0,,,,381.1293990457391,249.483885410218 degree,279.27582,71.92626953125
168,40909.0,1.0,1992-02-27 12:00:00,1992-02-28 00:00:00,12.0,,,,159.2149977913089,192.4737133720409 degree,271.83032,25.7978515625
169,40916.0,1.0,1992-02-28 06:00:00,1992-02-28 18:00:00,12.0,,,,194.27485498203538,198.59344163090591 degree,217.69418,21.20556640625
170,43329.0,1.0,1992-12-04 12:00:00,1992-12-05 18:00:00,30.0,,,,129.1576639310558,253.91727860455893 degree,12.309366,3.12060546875
171,43345.0,1.0,1992-12-06 00:00:00,1992-12-07 12:00:00,36.0,,,,164.9867385680438,243.34109216613066 degree,29.258183,13.310791015625
172,43361.0,1.0,1992-12-07 18:00:00,1992-12-08 00:00:00,6.0,,,,92.71519860487344,239.88063180012355 degree,279.02283,5.545166015625
173,43518.0,1.0,1992-12-31 00:00:00,1992-12-31 18:00:00,18.0,,,,236.5626736695637,242.54224715872198 degree,-174.27176,42.7607421875
174,43518.0,2.0,1992-12-29 12:00:00,1992-12-31 00:00:00,36.0,,,,333.53834515147463,234.30730640535393 degree,-339.204,28.25299072265625
175,43617.0,1.0,1993-01-13 00:00:00,1993-01-13 12:00:00,12.0,,,,59.068143004566686,283.68109166105523 degree,-627.91284,
176,43617.0,2.0,1993-01-11 18:00:00,1993-01-13 00:00:00,30.0,,,,34.13149829845858,245.64017249940483 degree,-1367.6243,1.9950408935546875
177,43640.0,1.0,1993-01-13 18:00:00,1993-01-14 00:00:00,6.0,,,,42.46788771113738,278.71936598168236 degree,-684.2981,
178,43644.0,1.0,1993-01-14 06:00:00,1993-01-16 00:00:00,42.0,,,,217.44820378135995,159.6136024874099 degree,-551.5738,34.150390625
179,43644.0,3.0,1993-01-16 00:00:00,1993-01-16 12:00:00,12.0,,,,91.80180654918976,310.6214145026146 degree,-279.5577,
180,43731.0,1.0,1993-01-25 18:00:00,1993-01-26 00:00:00,6.0,,,,66.4714575187331,261.1680896838426 degree,-218.12401,
181,43739.0,1.0,1993-01-26 18:00:00,1993-01-27 00:00:00,6.0,,,,50.004432842483375,329.0849299661529 degree,290.52072,
182,43880.0,1.0,1993-02-15 00:00:00,1993-02-15 12:00:00,12.0,,,,133.397269692065,274.09697136547845 degree,451.08517,12.04248046875
183,43880.0,2.0,1993-02-13 18:00:00,1993-02-15 00:00:00,30.0,,,,173.25482339044476,239.56781321210943 degree,-223.67642,30.666748046875
184,43950.0,1.0,1993-02-24 12:00:00,1993-02-26 00:00:00,36.0,,,,297.48182493336196,165.19671913918475 degree,-450.70065,108.97021484375
185,43950.0,3.0,1993-02-26 00:00:00,1993-02-26 18:00:00,18.0,,,,246.51216900112138,289.48749986719736 degree,-167.96732,1.5648193359375
186,46651.0,1.0,1994-01-17 00:00:00,1994-01-17 06:00:00,6.0,,,,115.00013984143548,258.23420045631144 degree,-669.7254,
187,46651.0,3.0,1994-01-16 18:00:00,1994-01-17 00:00:00,6.0,,,,427.2157022691427,227.23526369673408 degree,-337.35547,46.8046875
188,46703.0,1.0,1994-01-24 12:00:00,1994-01-27 12:00:00,72.0,,,,248.47672384649061,220.65236820563263 degree,119.34096,67.083984375
189,46797.0,1.0,1994-02-03 12:00:00,1994-02-04 00:00:00,12.0,,,,166.3958472683864,250.00919872352924 degree,-172.53584,6.30419921875
190,46804.0,1.0,1994-02-04 06:00:00,1994-02-04 12:00:00,6.0,,,,223.56441335748136,218.59511332879612 degree,-676.8063,14.990478515625
191,46925.0,1.0,1994-02-19 18:00:00,1994-02-20 00:00:00,6.0,,,,172.95025857874109,161.0507069044309 degree,-143.06068,15.8238525390625
192,46925.0,3.0,1994-02-20 00:00:00,1994-02-23 00:00:00,72.0,,,,632.2625869977439,245.99542466245146 degree,220.13257,40.833984375
193,46977.0,1.0,1994-02-25 00:00:00,1994-02-25 06:00:00,6.0,,,,104.21219368343176,260.07618147234825 degree,-1.1281495,1.55029296875
194,49372.0,1.0,1994-12-05 00:00:00,1994-12-08 00:00:00,72.0,,,,261.8374898431849,191.87247465888981 degree,337.66714,123.956298828125
195,49372.0,2.0,1994-12-04 06:00:00,1994-12-05 00:00:00,18.0,,,,289.61201066772975,220.60427908942606 degree,635.77234,27.70648193359375
196,49372.0,3.0,1994-12-08 00:00:00,1994-12-08 12:00:00,12.0,,,,58.05803093784341,300.5604361873474 degree,627.84845,
